index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,questions
413,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Beauty & Hygiene,Skin Care,Nivea,114.8,140.0,Lip Care,4.3,"Nivea Original Care Lip Blam nourishes lips in such a way that they always look and feel their best. With its weightless texture, it makes effective all-around lip care for soft and smooth lips, with no colour. The skin on your lips is much thinner than rest of the body skin, it chaps and peels so easily and hence ideally should be kept moisturised with a lip care product. Nivea Original Lip Balm keeps your lips moisturised for up to 12 hours.","['Is Nivea Original Care Lip Balm suitable for all skin types?', 'How long does Nivea Original Care Lip Balm keep your lips moisturized?', 'Which type of oils are used in Nivea Original Care Lip Balm?', 'Can Nivea Original Care Lip Balm be used as a lip primer?', 'How does Nivea Original Care Lip Balm compare to other lip balms in terms of effectiveness?']"
448,Black Naturals,Beauty & Hygiene,Hair Care,Garnier,37.0,39.0,Hair Color,4.2,"Garnier Black Naturals is enriched with the goodness of Almond Oil and Black Tea extract Enriched with the goodness of Almond Oil and Black Tea Extract, Garnier Black Naturals is a no-ammonia crème formula that works in just 15 minutes, covers 100% greys and lasts upto 6 weeks.","['Does Garnier Black Naturals contain any harmful chemicals?', 'How long does Garnier Black Naturals last?', 'Can Garnier Black Naturals be used by people with sensitive scalps?', 'What are the key ingredients in Garnier Black Naturals?', 'Is Garnier Black Naturals suitable for all hair types?']"
461,Brightening Serum,Beauty & Hygiene,Skin Care,Kaya Clinic,942.0,1450.0,Face Care,4.0,"Brightening serum contains a potent active lightening complex known to even the skin tone, lighten freckles and age spots as well as helps to reduce hyperpigmented areas. Ferulic acid and Waltheria Indica extracts have a regulatory effect on melanin skin pigmentation. It is clinically tested to decrease pigmentation and brighten your skin.","['Does Brightening Serum contain Waltheria Indica extracts?', 'How does Brightening Serum reduce hyperpigmented areas?', 'Is Brightening Serum clinically tested to decrease pigmentation?', 'What does the potent active lightening complex in Brightening Serum do?', 'How does Ferulic acid in Brightening Serum regulate melanin skin pigmentation?']"
612,Make Up Remover+Brightening Nigt Cream,Beauty & Hygiene,Skin Care,Kaya Clinic,869.0,1230.0,Face Care,,"Hydra Cleanse Makeup Remover is a non-sticky yet moisturizing make-up remover. Specially formulated to remove regular, water-proof and long-lasting make-up without the use of water. End your day with clean, beautiful and healthy looking skin. This 3-in-1 alcohol-free formula is gentle on the skin, lips, and eyes. It retains the natural pH of the skin. Formula researched and developed by dermatologists.Brightening Night Cream is specially formulated to work at night to give you a notably lighter complexion. Potent whitening active azeloyl glycine works to give you lighter and brighter skin. Extracts of imperator cylindrical help restore radicals resulting in visibly soft, fresh and luminous skin. Formula researched and developed by dermatologists.","['Does Hydra Cleanse Makeup Remover contain alcohol?', 'How many products are included in the Make Up Remover+Brightening Night Cream set?', 'Does the Brightening Night Cream contain azeloyl glycine?', 'Can the Make Up Remover+Brightening Night Cream set be used on all skin types?', 'What is the main ingredient in the Brightening Night Cream?']"
730,Bio Papaya Scrub Wash,Beauty & Hygiene,Skin Care,BIOTIQUE,202.5,270.0,Face Care,4.1,"This fresh foaming gel is blended with pure papaya fruit to dissolve dead surface cells, unclog pore openings and smooth the way for clear skin to surface. Gentle refining action uncovers skin's natural brightness for a younger-looking complexion.","['Does Bio Papaya Scrub Wash contain any harsh chemicals?', ""How does Bio Papaya Scrub Wash help in uncovering skin's natural brightness?"", 'Is Bio Papaya Scrub Wash recommended for sensitive skin?', 'Can Bio Papaya Scrub Wash be used daily?', 'What is the key ingredient in Bio Papaya Scrub Wash for unclogging pore openings?']"
734,Eyeconic Kajal,Beauty & Hygiene,Makeup,Lakme,206.25,275.0,Eyes,3.9,"Accentuate the beauty of your eyes with the Lakme Eyeconic Kajal. This dermatologically tested kajal is just what you need for completing your eye makeup or carrying a simple, only-kajal look. It is a smudge proof, waterproof kajal, and can add the dramatic and glamorous look to your eyes. It has an intense matte texture for Eyeconic eyes. You can experiment with a thin line or a bold wing. This kajal is great for day and night looks. It is long lasting, up to 22 hours without smudging and is completely waterproof. It is designed with an easy to use and convenient twist-up format. Just one stroke of the Lakme Eyeconic Kajal enhances your simple look to a more stylish avatar. Its beat all your timelines, be it meetings, traveling or just a day out and lasts for 22 hours. You are incomplete without kajal and this is a perfect everyday product! Get the Lakme Eyeconic Kajal in black now. The black Eyeconic goes best with your Eyeconic mascara to enhance your eyes further. You can also use from our 4 eye quartet pallets to enhance your eye for wedding, party and work look.","['Is the Lakme Eyeconic Kajal waterproof?', 'How many hours does the Lakme Eyeconic Kajal last without smudging?', 'Does the Lakme Eyeconic Kajal come in different colors?', 'What is the texture of the Lakme Eyeconic Kajal?', 'Can you use the Lakme Eyeconic Kajal for both day and night looks?']"
758,Taft Ultimate Hair Lacquer Ultimately Strong 6,Beauty & Hygiene,Hair Care,Schwarzkopf,395.0,395.0,Hair & Scalp Treatment,3.7,Taft hairspray Ultimate-6 offers the highest Taft fixation thanks to two combined polymers and also gives the hair a beautiful shine. This spray is great for all hair types and helps you get your desired hairstyle in a go. The strong hold feature of this hair styling lacquer will hold your desired hairstyle strong so that your hair does not need a touch-up or styling for every minute.,"['Does Taft Ultimate Hair Lacquer Ultimately Strong 6 contain two polymers?', 'How does Taft Ultimate Hair Lacquer Ultimately Strong 6 help in achieving desired hairstyles?', 'Is Taft Ultimate Hair Lacquer Ultimately Strong 6 suitable for all hair types?', 'What is the fixation level of Taft Ultimate Hair Lacquer Ultimately Strong 6?', 'How long does Taft Ultimate Hair Lacquer Ultimately Strong 6 hold a hairstyle in place?']"
880,Bio Green - Apple Fresh Daily Purifying Shampoo & Conditioner,Beauty & Hygiene,Hair Care,BIOTIQUE,74.25,99.0,Shampoo & Conditioner,4.3,Rejuvenate your oil hair or scalp in minutes with these nourishing daily shampoo and conditioner. Its special pH balanced formula is uber gentle on the hair and makes it shine.,"['Does Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner work on oily hair only?', 'How long should you leave Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner on your hair for optimal results?', 'Is Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner suitable for all hair types?', 'What makes Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner uber gentle on hair?', 'Can Bio Green Apple Fresh Daily Purifying Shampoo & Conditioner be used daily?']"
908,Face Wash - Blush & Glow Strawberry Gel,Beauty & Hygiene,Skin Care,Lakme,153.75,205.0,Face Care,4.3,"Use the Lakme Blush and Glow  Gel Face Wash to give your skin a gorgeous kissed glow, every day. Formulated by Lakme Salon experts & enriched with the goodness of rich Strawberry extracts. The face wash has fruit anti-oxidants and beads that cleanse your skin washing away dirt and other impurities. For the best results. Follow this simple Blush & Glow regime every day for a fruit-kissed glow every day. The beautiful texture & fragrance will make you fall in love instantly.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog","['Is Lakme Blush & Glow Strawberry Gel Face Wash suitable for daily use?', 'How does the Lakme Blush & Glow Strawberry Gel Face Wash give a kissed glow to the skin?', 'Which beauty product is formulated by Lakme Salon experts?', 'How often should you follow the Blush & Glow regime for best results?', 'What are the fruit anti-oxidants in the Lakme Blush & Glow Strawberry Gel Face Wash?']"
935,6 Oil Nourish Conditioner,Beauty & Hygiene,Hair Care,Loreal Paris,159.0,199.0,Shampoo & Conditioner,4.3,"Does your hair get frizzy and unmanageable? Are you left wishing for a remedy to fix your frizzy tassels? Do you want to know the secret to fixing frizzy hair? Try New Dove Intense Repair Conditioner. Control frizz with a nourishing conditioner that’s formulated to nourish and help with frizz prevention. Formulated with Keratin Actives, Dove Intense Repair Conditioner helps to nourish dry and frizzy hair with two-way care. It controls external signs of dryness in the form of frizz while nourishing strands to help them look their best. This conditioner for frizzy, damaged hair Leaves hair visibly smooth and more manageable – giving you smoother hair* that you will be proud of. Use it after your shampoo on damp hair for best results. This nourishing conditioner works immediately to smoothen the hair surface, deeply nourishing to moisturize hair strands for healthier looking and smoother hair use Dove repair conditioner. With every use, you’ll be left with shiny and beautiful hair. Buy New Dove Intense Repair conditioner and treat your hair to a look that will be the cause of envy among all your friends. Dove Conditioners, for 100% care. *Based on lab test with Dove Intense Repair system vs non-conditioning shampoo","['Does the 6 Oil Nourish Conditioner contain Keratin Actives?', 'How should you apply the 6 Oil Nourish Conditioner for best results?', 'What are the benefits of using the 6 Oil Nourish Conditioner?', 'Which ingredients are used in the 6 Oil Nourish Conditioner?', 'Is the 6 Oil Nourish Conditioner suitable for all hair types?']"
984,Men Expert White Activ Intensive Whitening Foam,Beauty & Hygiene,Men's Grooming,Loreal Paris,499.0,499.0,Face & Body,3.0,"LOreal Men Expert White Activ intensive whitening foam has a special pro-exfoliating formula which helps men in removing the dead cells from their skins, thus leaving it luminous and bright. It uses effective ingredients that act as good peeling agents. It not only smoothes out irregularities but also helps in stimulating a healthy dead skin-cell removal routine. This face wash not only helps whiten the skin fair but also removes dirt or makeup. It removes all impurities from the skin.","['How many ingredients are in Men Expert White Activ Intensive Whitening Foam?', 'Can Men Expert White Activ Intensive Whitening Foam be used as a makeup remover?', 'What special formula does Men Expert White Activ Intensive Whitening Foam use for exfoliating?', 'Does Men Expert White Activ Intensive Whitening Foam help in hair regrowth?', 'How does Men Expert White Activ Intensive Whitening Foam work on dark spots?']"
990,Men Expert Hydra Power Duo Foam Cleanser,Beauty & Hygiene,Skin Care,Loreal Paris,367.54,499.0,Face & Body,4.1,"Detoxifying Anti-Roughness, the foam deeply cleanses and purifies the skin, which leaves a comfortable feeling without tightness. French Mountain Water purifies skin and efficiently removes impurities, dirt and pollution. G-Cyclic Resurfacing Complex TM instantly hydrates skin, removes dead skin cells, and smooth skin texture","['Does the Men Expert Hydra Power Duo Foam Cleanser remove pollution from the skin?', 'How does French Mountain Water benefit the skin in Men Expert Hydra Power Duo Foam Cleanser?', 'What is the purpose of G-Cyclic Resurfacing Complex TM in the Men Expert Hydra Power Duo Foam Cleanser?', 'Does Men Expert Hydra Power Duo Foam Cleanser leave the skin feeling tight?', 'How does Men Expert Hydra Power Duo Foam Cleanser detoxify the skin?']"
1022,Active Clean Shower Gel,Beauty & Hygiene,Men's Grooming,Nivea Men,597.0,597.0,Bath & Shower,,"WITH ACTIVE CHARCOAL FOR DEEP CLEANSING. 3 in 1 for Face, Body & Hair.Dirt, grime and pollution getting you down? Try the NEW NIVEA MEN ACTIVE CLEAN SHOWER GEL WITH ACTIVE CHARCOAL.  For Beauty tips, tricks & more visit https://bigbasket.blog/","['Does Active Clean Shower Gel include active charcoal for deep cleansing?', 'Can Active Clean Shower Gel be used for face, body, and hair?', 'Where can you find Beauty tips, tricks & more related to Active Clean Shower Gel?', 'Does Nivea Men Active Clean Shower Gel remove dirt, grime, and pollution?', 'How many functions does Active Clean Shower Gel serve?']"
1074,White Perfect - Clinical New Skin Essence Lotion,Beauty & Hygiene,Skin Care,Loreal Paris,995.0,995.0,Face Care,,"L'Oreal Paris White Perfect Clinical New Skin Essence Lotion that is enriched with a dermatological active to enhance radiance, skin tone and skin texture for a healthier & younger look. Inspired by advanced clinical procedures.A powerful concentrated white perfect essence water to activate skin regeneration and enhance skin fairness. Go beyond spotless skin with 3 additional benefits; increased radiance, flawless skin tone & refined skin texture. Glycolic Acid, Hepes & Vitamin CG to smoothen skin texture, stimulate skin renewal & remove spots.Dermatologically tested. Suited for oily, dry & all skin types.","[""What are the key active ingredients in L'Oreal Paris White Perfect Clinical New Skin Essence Lotion?"", ""How does L'Oreal Paris White Perfect Clinical New Skin Essence Lotion enhance skin fairness?"", ""Can L'Oreal Paris White Perfect Clinical New Skin Essence Lotion be used on sensitive skin?"", ""What are the additional benefits provided by L'Oreal Paris White Perfect Clinical New Skin Essence Lotion?"", ""How does L'Oreal Paris White Perfect Clinical New Skin Essence Lotion activate skin regeneration?""]"
1132,Brightening Night Cream,Beauty & Hygiene,Skin Care,Kaya Clinic,617.0,950.0,Face Care,3.4,"Brightening night cream is specially formulated to work at night to give you a notably lighter complexion. Potent whitening active azeloyl glycine works to give you lighter and brighter skin. Extracts of imperator cylindrical helps restore radicals resulting in visibly soft, fresh and luminous skin. Formula researched and developed by dermatologists.","['Is Brightening Night Cream suitable for all skin types?', 'How long should Brightening Night Cream be left on the skin before washing off?', 'What is the main ingredient in Brightening Night Cream?', 'Can Brightening Night Cream be used during the day as well?', 'Are there any potential side effects of using Brightening Night Cream?']"
1143,"Syoss - Renew 7 Complete Repair, 02 Conditioner",Beauty & Hygiene,Hair Care,Schwarzkopf,425.0,425.0,Shampoo & Conditioner,,"The new SYOSS Renew 7 Complete Repair, developed with and tested by hairdressers, restores the hair fibers in 3 dimensions and intensively strengthens and improves the structure of each hair from roots to tips. For salon-beautiful hair like directly after the hairdresser €“ every day.","['Is Syoss Renew 7 Complete Repair, 02 Conditioner suitable for all hair types?', 'How long should Syoss Renew 7 Complete Repair, 02 Conditioner be left on hair for best results?', 'Which professionals tested Syoss Renew 7 Complete Repair, 02 Conditioner?', 'Can Syoss Renew 7 Complete Repair, 02 Conditioner help with split ends?', 'How often should Syoss Renew 7 Complete Repair, 02 Conditioner be used for optimal results?']"
1202,Revitalift Moisturizing Day Cream SPF 23 PA++,Beauty & Hygiene,Skin Care,Loreal Paris,622.39,845.0,Face Care,4.8,"L'Oreal Paris Revitalift Moisturizing Day Cream is enriched with anti-ageing elements that reduce fine lines & wrinkles, boost skin firmness, youthfulness, radiance and provides sunscreen/UV protection. A powerful anti-ageing day cream created by L'Oreal Skincare Laboratories for triple action that gives transformed skin. Instantly boosts the skin texture on 8 key zones for a smoother, fairer and younger-looking look. Dermalift Technology, Pro-Retinol A & Centella Asiatica to re-firm, restore and re-plump the skin. Use daily with Revitalift Essence, Night Cream & Eye Cream for a complete anti-ageing solution.","['Is Revitalift Moisturizing Day Cream SPF 23 PA++ a moisturizer or sunscreen?', 'How many anti-ageing elements are present in Revitalift Moisturizing Day Cream SPF 23 PA++?', 'What are the key zones on the face where Revitalift Moisturizing Day Cream SPF 23 PA++ works?', ""How many L'Oreal skincare products are recommended for daily use in conjunction with Revitalift Moisturizing Day Cream SPF 23 PA++?"", 'Which technology is used in Revitalift Moisturizing Day Cream SPF 23 PA++ to re-firm and re-plump the skin?']"
1280,"Anti Dandruff Conditioner - With Tea Tree & Ginger Oil, For Dandruff Free Hair",Beauty & Hygiene,Hair Care,Mamaearth,349.0,349.0,Shampoo & Conditioner,4.5,"Stimulate and renew your hair with an outlandish mix of Tea Tree and Ginger Oil that helps in reducing itch & irritation while contributing to the shine and smoothness of the hair and soothing dryness and itchiness. Mamaearth Tea Tree Conditioner is made using natural ingredients and makes sure that dandruff and excess oil are gently worked on & removed. Coconut oil present in the conditioner works like magic on dry and brittle scalp, making hair soft and smooth. Almond Oil nourishes and moisturises hair while adding shine. Ginger Oil contributes to the health of the hair and soothes dryness. Safe for coloured and chemically treated hair, this conditioner is free of harmful chemicals and toxins such as Silicones, Parabens, Mineral Oil, & Dyes.","['Is Mamaearth Tea Tree Conditioner safe for colored hair?', 'How does the presence of Coconut Oil benefit Mamaearth Tea Tree Conditioner?', 'What are the key ingredients in Mamaearth Tea Tree Conditioner?', 'How does Ginger Oil contribute to the health of hair in Mamaearth Tea Tree Conditioner?', 'How does Mamaearth Tea Tree Conditioner help in reducing dandruff?']"
1330,Skin Natural Serum sheetmask (Light complete +2 Charcoal),Beauty & Hygiene,Skin Care,Garnier,211.61,297.0,Face Care,,"Garnier introduces a new generation of face masks for women that infuses skin with 1 week of serum with 1 mask. Use Garnier Light Complete Sheet Mask if you have dull, dehydrated skin with spots. It is enriched with Lemon and Vitamin C and will instantly hydrate and brighten your skin in just 15 mins. It will also help in reducing spots, The tissue mask has been dermatologically tested. How to use – Unfold the mask. Apply on clean face with blue protective film facing outwards. Remove the blue film. Adjust the mask to the contours of your face. Leave it on for 15mins. Remove mask and gently massage your face with the excess serum. • Garnier tissue face masks provide your skin with deep hydration • Garnier Light Complete Sheet Mask is enriched with Lemon and Vitamin C • Perfect for dehydrated and dull skin with spots • Instantly hydrates and brightens skin in just 15 minutes • 1 mask gives you one week of serum • Suitable for all skin types, including sensitive skinGarnier introduces a new generation of face masks for women that infuses skin with 1 week of serum with 1 mask. Garnier Black Serum Mask is a breakthrough black tissue mask technology that offers double purifying and hydrating efficacy. Use Garnier Black Serum Mask if you have dull skin with clogged and enlarged pores. It is enriched with Charcoal, known for its ability to remove impurities. It is also enriched with pore-tightening Black Algae Extracts. The serum mask will intensely hydrate and purify your skin while also tightening its pores. The sheet mask has been dermatologically tested.","['Is Garnier Light Complete Sheet Mask suitable for oily skin?', 'How long should you leave Garnier Black Serum Mask on your face?', 'Which mask should you use if you have dull skin with clogged pores?', 'Can Garnier Light Complete Sheet Mask be used on sensitive skin?', 'What are the key ingredients in Garnier Black Serum Mask?']"
1410,"Taft Looks - Wet Power Gel, Extra Hold 3",Beauty & Hygiene,Men's Grooming,Schwarzkopf,425.0,425.0,Hair Care & Styling,4.0,"Schwarzkopf Taft All Weather Looks Wet Gel Extra Hold provides the long-lasting extra strong hold for wet look styles, without stickiness, without residues and easy to wash out.","['Does Schwarzkopf Taft Looks Wet Power Gel provide a strong hold for dry hair?', 'How easy is it to remove Schwarzkopf Taft Looks Wet Power Gel from hair?', 'Does Schwarzkopf Taft Looks Wet Power Gel leave any residue in hair?', 'Can Schwarzkopf Taft Looks Wet Power Gel be used for creating matte hairstyles?', 'How does Schwarzkopf Taft Looks Wet Power Gel compare to other hair gels in terms of hold strength?']"
1467,Natural Mosquito Repellent Patches,Cleaning & Household,Fresheners & Repellents,Mamaearth,199.0,199.0,Mosquito Repellent,3.7,"Hi! I am Mamaearths 100% natural mosquito repellent patch for babies. I am DEET free with NO harmful chemicals, insecticides or pesticides. I do not cause any side effects like eye irritation or skin damage as I am a 100% natural blend of Citronella, Eucalyptus, Peppermint Oil & Lemon extract. My powerful mosquito repellent blend protects your loved ones from Dengue, Malaria & Chikungunya. I can be pasted on your childs clothes, cot, pram and schoolbag. I offer up to 12 hours of protection from mosquito bites. I am waterproof and can be used for both indoor and outdoor activities. I do not leave any residue on clothes after removal.","['Is Mamaearths Natural Mosquito Repellent Patch safe for babies?', 'How long does protection from Mamaearths Natural Mosquito Repellent Patch last?', 'What are the ingredients in Mamaearths Natural Mosquito Repellent Patch?', 'Can Mamaearths Natural Mosquito Repellent Patch be used for both indoor and outdoor activities?', 'Are there any side effects from using Mamaearths Natural Mosquito Repellent Patch on babies?']"
1773,Skin Naturals - Light Complete Night Cream,Beauty & Hygiene,Skin Care,Garnier,129.5,185.0,Face Care,4.4,"Garnier Light Complete Night Cream nourishes your skin while you sleep. This women's cream is enriched with Vitamin C, Lemon Essence & Yoghurt Bifidus and works as a brightening yoghurt treatment. Its ultra-light texture absorbs quickly into the skin. It reduces dullness, exfoliates dead cells and lightens spots & skin tone. Wake up to renewed, fresh and brighter skin from the 1st night itself! For fast results, switch to Garnier Light Complete skincare. The cream has been dermatologically tested.Garnier Light Complete Night Cream nourishes skin while you sleep. Gives brightening action from the 1st night. Exfoliates dead cells and lightens spots. Enriched with Vitamin C, Lemon Essence & Yoghurt Bifidus.","['Does Skin Naturals Light Complete Night Cream contain Vitamin E?', 'How quickly does Skin Naturals Light Complete Night Cream absorb into the skin?', 'What are the key ingredients in Skin Naturals Light Complete Night Cream?', 'Can Skin Naturals Light Complete Night Cream be used during the day?', 'How does Skin Naturals Light Complete Night Cream help with skin tone?']"
1785,Revitalift Laser X3 Day Cream,Beauty & Hygiene,Skin Care,Loreal Paris,1400.0,1400.0,Face Care,4.6,"L'Oreal Paris Revitalift Laser X3 Anti-Ageing Day Cream visibly reduces wrinkles, re-firms and refines texture for younger-looking radiant skin. Inspired by dermatological procedures to give younger-looking skin.1st anti-ageing, skin-renewing cream and face moisturizer, created by L'Oreal Skincare Laboratories. Reduces wrinkles, pores & fine lines to immediately moisturize and smoothen the skin. 3 % Pro-Xylane + Adenosine for increased hydration & skin elasticity.Dermatologically tested. Suited for oily, dry & all skin types.","['Does Revitalift Laser X3 Day Cream work for all skin types?', 'What is the main ingredient in Revitalift Laser X3 Day Cream?', 'How does Revitalift Laser X3 Day Cream reduce wrinkles?', 'How is the texture of Revitalift Laser X3 Day Cream?', 'What inspired the creation of Revitalift Laser X3 Day Cream?']"
