index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,questions
262,Sun Expert Fairnes Sunscren Lotion SPF 30 PA++,Beauty & Hygiene,Skin Care,Lakme,385.0,385.0,Body Care,4.5,"SPF 30 is a measure of protection for the skin from UVB rays and broad spectrum UV protection, Keeps your skin looking fresh and oil-free, PA+ is a measure of protection for the skin from the harmful UVA rays, Helps lighten your skin tone on regular usage.  For Beauty tips, tricks & more visit https://bigbasket.blog/","['How does Sun Expert Fairness Sunscreen Lotion SPF 30 PA++ protect the skin from UVB rays?', 'Can Sun Expert Fairness Sunscreen Lotion SPF 30 PA++ help in reducing oiliness in the skin?', 'What is the significance of PA+ in Sun Expert Fairness Sunscreen Lotion SPF 30 PA++?', 'Does Sun Expert Fairness Sunscreen Lotion SPF 30 PA++ provide broad spectrum UV protection?', 'How does regular usage of Sun Expert Fairness Sunscreen Lotion SPF 30 PA++ affect skin tone?']"
286,Almond & Rose Soap Value Pack,Beauty & Hygiene,Bath & Hand Wash,Himalaya,131.2,160.0,Bathing Bars & Soaps,4.3,"Himalaya Almond & Rose Soap combines 10% natural actives to restore the body's water content. This non-greasy soap leaves skin feeling soft, supple and toned. Blended with all natural ingredients such as Almond Oil and Persian Rose, this body soap deeply penetrates into the skin to hydrate it completely.","['How much natural actives are combined in Himalaya Almond & Rose Soap?', 'What ingredients are blended into Almond & Rose Soap Value Pack?', 'How does Himalaya Almond & Rose Soap leave the skin feeling?', 'What percentage of Almond & Rose Soap is non-greasy?', 'What kind of rose is used in Almond & Rose Soap Value Pack?']"
319,Milk Delights Face Wash With Honey For Dry Skin,Beauty & Hygiene,Skin Care,Nivea,86.4,90.0,Face Care,4.2,"Presenting New Nivea Milk Delights Face Wash which has the goodness of milk proteins and moisturising honey. Formulated specifically for the dry skin, it gives you healthy-looking skin. It cleans the face from within making it healthy and dirt-free.","['Does the Nivea Milk Delights Face Wash contain any artificial fragrances?', 'How does the honey in Milk Delights Face Wash benefit dry skin?', 'Does the Milk Delights Face Wash work well for oily skin?', 'Can the Milk Delights Face Wash be used for removing makeup?', 'What is the main ingredient in Nivea Milk Delights Face Wash for dry skin?']"
355,Active Fresh Gel Toothpaste,Beauty & Hygiene,Oral Care,Himalaya,45.0,50.0,Toothpaste,4.3,Himalayas Active Fresh toothpaste is filled with energising herbal ingredients that guarantee long-lasting fresh breath. Menthol is a normal revitalizing agent. Indian Dil prevents mouth odour while Clove and Fennel are efficient natural astringents that tighten gums.,"['Does Himalayas Active Fresh toothpaste contain any artificial ingredients?', 'How do the herbal ingredients in Himalayas Active Fresh toothpaste guarantee long-lasting fresh breath?', 'Which natural ingredients are efficient astringents in Himalayas Active Fresh toothpaste?', 'How does Menthol act as a revitalizing agent in Himalayas Active Fresh toothpaste?', 'What makes Himalayas Active Fresh toothpaste different from other toothpastes on the market?']"
357,Anti-Hair Fall Shampoo,Beauty & Hygiene,Hair Care,Himalaya,123.5,130.0,Shampoo & Conditioner,4.2,Anti-Hair Fall Shampoo reduces the hair fall and promotes hair growth. It is a breakthrough 2-in-1 formula that reduces hair fall and provides nourishment to hair shafts. It also conditions and improves your hair texture to reduce hair fall due to breakage. The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall.,"['How many herbs are mentioned in the description of Anti-Hair Fall Shampoo?', 'What are the key ingredients in Anti-Hair Fall Shampoo that promote hair growth?', 'Is Anti-Hair Fall Shampoo a 2-in-1 formula for hair care?', 'Does Anti-Hair Fall Shampoo contain any chemicals that may cause hair fall?', 'How does Anti-Hair Fall Shampoo reduce breakage in hair?']"
413,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Beauty & Hygiene,Skin Care,Nivea,114.8,140.0,Lip Care,4.3,"Nivea Original Care Lip Blam nourishes lips in such a way that they always look and feel their best. With its weightless texture, it makes effective all-around lip care for soft and smooth lips, with no colour. The skin on your lips is much thinner than rest of the body skin, it chaps and peels so easily and hence ideally should be kept moisturised with a lip care product. Nivea Original Lip Balm keeps your lips moisturised for up to 12 hours.","['How long does Nivea Original Care Lip Balm provide moisture for?', 'What ingredients are in Nivea Original Care Lip Balm?', 'Does Nivea Original Care Lip Balm have any added colors?', 'What is special about Nivea Original Care Lip Balm compared to other lip balms?', 'How does Nivea Original Care Lip Balm help in lip care?']"
448,Black Naturals,Beauty & Hygiene,Hair Care,Garnier,37.0,39.0,Hair Color,4.2,"Garnier Black Naturals is enriched with the goodness of Almond Oil and Black Tea extract Enriched with the goodness of Almond Oil and Black Tea Extract, Garnier Black Naturals is a no-ammonia crème formula that works in just 15 minutes, covers 100% greys and lasts upto 6 weeks.","['Can Garnier Black Naturals be used on chemically treated hair?', 'How long does the color from Garnier Black Naturals last?', 'Does Garnier Black Naturals contain any harmful chemicals?', 'How quickly does Garnier Black Naturals cover grey hair?', 'Which ingredients in Garnier Black Naturals help in maintaining smoothness and shine in hair?']"
461,Brightening Serum,Beauty & Hygiene,Skin Care,Kaya Clinic,942.0,1450.0,Face Care,4.0,"Brightening serum contains a potent active lightening complex known to even the skin tone, lighten freckles and age spots as well as helps to reduce hyperpigmented areas. Ferulic acid and Waltheria Indica extracts have a regulatory effect on melanin skin pigmentation. It is clinically tested to decrease pigmentation and brighten your skin.","['How does the Brightening Serum help reduce hyperpigmented areas?', 'What potent active lightening complex is found in the Brightening Serum?', 'What regulatory effect do Ferulic acid and Waltheria Indica extracts have on melanin skin pigmentation?', 'How is the Brightening Serum clinically tested?', 'How do the ingredients in the Brightening Serum help to lighten freckles and age spots?']"
564,Bathing Soap - Cucumber & Coconut,Beauty & Hygiene,Bath & Hand Wash,Himalaya,99.36,120.0,Bathing Bars & Soaps,4.2,"Himalaya Herbals Refreshing Cucumber Soap is enriched with extracts of nut grass that sooth and moisturize the skin. It has turmeric which keeps the skin due to its antibacterial activities. The Cucumber sooth, rinse and energize and Oil of Coconut nourishes and moisturizes skin.For Beauty tips, tricks & more visit https://bigbasket.blog/","['Does Himalaya Herbals Refreshing Cucumber Soap contain coconut oil?', 'How does turmeric benefit the skin in Himalaya Herbals Refreshing Cucumber Soap?', 'What are the key ingredients in Himalaya Herbals Refreshing Cucumber Soap?', 'Can nut grass extract in Himalaya Herbals Refreshing Cucumber Soap help with skin hydration?', 'How does Cucumber in Himalaya Herbals Refreshing Cucumber Soap energize the skin?']"
612,Make Up Remover+Brightening Nigt Cream,Beauty & Hygiene,Skin Care,Kaya Clinic,869.0,1230.0,Face Care,,"Hydra Cleanse Makeup Remover is a non-sticky yet moisturizing make-up remover. Specially formulated to remove regular, water-proof and long-lasting make-up without the use of water. End your day with clean, beautiful and healthy looking skin. This 3-in-1 alcohol-free formula is gentle on the skin, lips, and eyes. It retains the natural pH of the skin. Formula researched and developed by dermatologists.Brightening Night Cream is specially formulated to work at night to give you a notably lighter complexion. Potent whitening active azeloyl glycine works to give you lighter and brighter skin. Extracts of imperator cylindrical help restore radicals resulting in visibly soft, fresh and luminous skin. Formula researched and developed by dermatologists.","['Can the Hydra Cleanse Makeup Remover remove long-lasting makeup?', 'Are the Make Up Remover+Brightening Night Cream products gentle on the eyes?', 'What is the active ingredient in the Brightening Night Cream?', 'Does the Brightening Night Cream contain azeloyl glycine?', 'How many formulas have been researched and developed by dermatologists for Make Up Remover+Brightening Night Cream?']"
